"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"121","Leptospirosis","SARIMA","2017-2019",2018-01-01,111.976910616759,27.8901722029291,50.6361428224444,197.344081735675,252.260602739481
"122","Leptospirosis","SARIMA","2017-2019",2018-02-01,78.4441191593217,11.9974870834529,28.4141298430675,153.344790547122,203.062444692619
"123","Leptospirosis","SARIMA","2017-2019",2018-03-01,81.9154956214475,13.0449579768686,30.1882981015768,158.937660536907,209.950115904327
"124","Leptospirosis","SARIMA","2017-2019",2018-04-01,69.5441844088991,8.28002254009244,22.7340927516442,141.862463470036,190.471143383336
"125","Leptospirosis","SARIMA","2017-2019",2018-05-01,93.0521365809748,17.4146084323441,36.8154451775683,174.904164645134,228.603080362984
"126","Leptospirosis","SARIMA","2017-2019",2018-06-01,143.421345408522,42.208979707561,70.4479156317258,242.06395317446,304.673059809008
"127","Leptospirosis","SARIMA","2017-2019",2018-07-01,185.70353921443,66.3475669437173,100.859484087066,296.243818471663,365.162120203152
"128","Leptospirosis","SARIMA","2017-2019",2018-08-01,205.054337918514,78.0813341631021,115.226182081066,320.59228699687,392.161688088777
"129","Leptospirosis","SARIMA","2017-2019",2018-09-01,213.055417116745,83.0347667383086,121.232719338655,330.594681967487,403.226257675901
"130","Leptospirosis","SARIMA","2017-2019",2018-10-01,277.104979729702,124.591150913715,170.573905904005,409.355934774818,489.776750404843
"131","Leptospirosis","SARIMA","2017-2019",2018-11-01,193.742802087031,71.1418699747944,106.770326678727,306.436645139977,376.505152757297
"132","Leptospirosis","SARIMA","2017-2019",2018-12-01,115.213705130308,27.553415432411,51.0875843901743,205.061584168257,263.03632711094
"133","Leptospirosis","SARIMA","2017-2019",2019-01-01,96.5738154155322,17.4309252983008,37.5946521551822,182.870113872304,239.610571017033
"134","Leptospirosis","SARIMA","2017-2019",2019-02-01,65.6921641644472,5.61942847235139,18.9700155923792,140.533495093142,191.534726820583
"135","Leptospirosis","SARIMA","2017-2019",2019-03-01,68.9064118865829,6.3781418302251,20.4719915874574,145.863076694169,198.147257797958
"136","Leptospirosis","SARIMA","2017-2019",2019-04-01,57.6240832364082,3.22235221952645,14.4497082768037,129.52325716422,179.212158214341
"137","Leptospirosis","SARIMA","2017-2019",2019-05-01,79.1945232717002,9.56608337450581,26.0369965085529,161.178638367225,216.247389047953
"138","Leptospirosis","SARIMA","2017-2019",2019-06-01,126.098954877213,29.3548150054638,55.1978869032972,225.877758937381,290.387153513475
"139","Leptospirosis","SARIMA","2017-2019",2019-07-01,165.929050100169,49.9479976409287,82.4428406812949,278.318688110031,349.514255233101
"140","Leptospirosis","SARIMA","2017-2019",2019-08-01,184.256879027308,60.2001239267051,95.4868400031281,301.943235493739,375.947933393582
"141","Leptospirosis","SARIMA","2017-2019",2019-09-01,191.852621509243,64.5642653163905,100.967849666921,311.660142766031,386.790321135634
"142","Leptospirosis","SARIMA","2017-2019",2019-10-01,252.852170063572,101.709482673066,146.369057694672,388.261174194723,471.651550733977
"143","Leptospirosis","SARIMA","2017-2019",2019-11-01,173.557961046202,54.1369998973478,87.8162000091221,288.227013934445,360.638890236088
"144","Leptospirosis","SARIMA","2017-2019",2019-12-01,99.7770399524865,17.409388995776,38.2630442767071,190.218674744928,249.805471192615
"145","Leptospirosis","ETS","2019",2019-01-01,167.541865254123,108.762199025395,127.67647820824,212.815320327011,238.970821701707
"146","Leptospirosis","ETS","2019",2019-02-01,116.87322560939,67.5841152786807,83.1267858485585,156.354892055726,179.576839317944
"147","Leptospirosis","ETS","2019",2019-03-01,128.492541304002,67.0426223291268,86.0704476063361,179.385684519137,209.755961749215
"148","Leptospirosis","ETS","2019",2019-04-01,124.667122355313,59.1372772710889,79.0858597820556,180.576171393406,214.353314523139
"149","Leptospirosis","ETS","2019",2019-05-01,161.717653640667,70.0872010524041,97.5308834129059,242.047588894947,291.106429247733
"150","Leptospirosis","ETS","2019",2019-06-01,244.547240508645,97.1542379212541,140.607502457898,377.066845605471,458.787596139107
"151","Leptospirosis","ETS","2019",2019-07-01,306.970463828769,112.047828307111,168.631481879046,486.437435229514,598.090090972238
"152","Leptospirosis","ETS","2019",2019-08-01,346.762135457305,116.469509491925,182.308069632481,563.632708698257,699.655218971398
"153","Leptospirosis","ETS","2019",2019-09-01,348.69706692206,107.87569613314,175.689257148523,580.428405591416,726.870807534978
"154","Leptospirosis","ETS","2019",2019-10-01,421.812601464874,120.258693922242,203.901187867193,718.066154410091,906.606152448484
"155","Leptospirosis","ETS","2019",2019-11-01,291.925461368543,76.7108424319666,135.50967742695,507.63650969103,645.829720304533
"156","Leptospirosis","ETS","2019",2019-12-01,183.043637660939,44.3256776005444,81.653968185328,324.809265775087,416.199614427678
"157","Leptospirosis","ETS","2018-2019",2018-01-01,271.803337990111,178.073663634606,208.282425119806,343.765912950824,385.277777607048
"158","Leptospirosis","ETS","2018-2019",2018-02-01,191.116310745701,110.714264119766,136.075969501378,255.481993221356,293.330018585206
"159","Leptospirosis","ETS","2018-2019",2018-03-01,210.079559336651,109.159005555657,140.385808222145,293.772448060784,343.74362772464
"160","Leptospirosis","ETS","2018-2019",2018-04-01,200.795543601836,94.3492079262677,126.698339108863,291.877856784259,346.969480361343
"161","Leptospirosis","ETS","2018-2019",2018-05-01,254.449900383154,108.67268139159,152.217900162535,382.80134807136,461.319633323106
"162","Leptospirosis","ETS","2018-2019",2018-06-01,380.46421494093,148.19108236556,216.421729421818,590.475655712162,720.257196219766
"163","Leptospirosis","ETS","2018-2019",2018-07-01,498.832376612256,177.584582798454,270.412842318113,796.643681964831,982.385201822741
"164","Leptospirosis","ETS","2018-2019",2018-08-01,548.895956274673,178.845091103884,284.049446352478,900.197460865961,1121.1621621139
"165","Leptospirosis","ETS","2018-2019",2018-09-01,559.138497807675,166.864998430482,276.594472641341,940.102410206297,1181.61282134085
"166","Leptospirosis","ETS","2018-2019",2018-10-01,684.590143833283,187.171891273636,324.075211233611,1178.36064805992,1493.68872111739
"167","Leptospirosis","ETS","2018-2019",2018-11-01,487.147020458368,121.999268648025,220.874332961137,857.375385987465,1095.44362593636
"168","Leptospirosis","ETS","2018-2019",2018-12-01,285.094652973054,65.3637607119452,123.893847819014,512.512140998324,659.704151565587
"169","Leptospirosis","ETS","2018-2019",2019-01-01,278.571418722276,58.4175553736135,116.094884313317,511.039564907681,662.433320842779
"170","Leptospirosis","ETS","2018-2019",2019-02-01,195.756639250505,37.5037496163608,78.272434687861,366.16509043972,477.797571463044
"171","Leptospirosis","ETS","2018-2019",2019-03-01,215.053370744763,37.5842111839606,82.5290284083196,409.853843937978,538.184317284038
"172","Leptospirosis","ETS","2018-2019",2019-04-01,205.431379674357,32.6922193999768,75.6851795032902,398.642441852946,526.612729326543
"173","Leptospirosis","ETS","2018-2019",2019-05-01,260.178630321199,37.6227008611912,92.0412283583516,513.760942203128,682.58734600604
"174","Leptospirosis","ETS","2018-2019",2019-06-01,388.817651342925,50.9643108490398,132.092424271765,780.854420391104,1043.16016243919
"175","Leptospirosis","ETS","2018-2019",2019-07-01,509.513431986155,60.3682371934215,166.240695478558,1040.1510144633,1396.8987342711
"176","Leptospirosis","ETS","2018-2019",2019-08-01,560.358217339579,59.8245512738273,175.591035378483,1162.31195650009,1568.88397594762
"177","Leptospirosis","ETS","2018-2019",2019-09-01,570.52610877621,54.6889418471772,171.692166995034,1201.88693160103,1630.23587259548
"178","Leptospirosis","ETS","2018-2019",2019-10-01,698.188573156413,59.8490653550874,201.766661799482,1493.20858073437,2034.93904010927
"179","Leptospirosis","ETS","2018-2019",2019-11-01,496.584904740843,37.8934805589872,137.789565978295,1077.80825141801,1475.52799936478
"180","Leptospirosis","ETS","2018-2019",2019-12-01,290.481956889332,19.6311448108721,77.3774850483312,639.615215625369,879.499551442051
"181","Leptospirosis","ETS","2017-2019",2017-01-01,148.396938664747,98.9242182954701,114.91714644736,186.150956231778,207.86692915682
"182","Leptospirosis","ETS","2017-2019",2017-02-01,106.540110517489,66.8561537173489,79.5505781521178,137.464854988939,155.428396803499
"183","Leptospirosis","ETS","2017-2019",2017-03-01,121.402834208847,72.0480018404031,87.6825433411619,160.597201784157,183.561348892169
"184","Leptospirosis","ETS","2017-2019",2017-04-01,113.421148111897,63.870486309053,79.4226871857952,153.46086799761,177.102112545142
"185","Leptospirosis","ETS","2017-2019",2017-05-01,141.83518004719,75.9793850741466,96.4671725048177,195.920063728316,228.079456735018
"186","Leptospirosis","ETS","2017-2019",2017-06-01,210.483926379302,107.470179030838,139.245324842124,296.387307225347,347.798102004006
"187","Leptospirosis","ETS","2017-2019",2017-07-01,273.583398166086,133.350656050277,176.248729481808,392.231810479304,463.668273699316
"188","Leptospirosis","ETS","2017-2019",2017-08-01,295.11729525339,137.495009875751,185.323408958494,430.338533813496,512.213307051188
"189","Leptospirosis","ETS","2017-2019",2017-09-01,311.812346915343,139.002834098511,191.024416504281,462.046194407897,553.494874839273
"190","Leptospirosis","ETS","2017-2019",2017-10-01,358.243063447753,152.939175571655,214.261118726998,539.027185561793,649.626013238175
"191","Leptospirosis","ETS","2017-2019",2017-11-01,266.32640552588,108.961862643132,155.603447692051,406.623548261428,492.863977656762
"192","Leptospirosis","ETS","2017-2019",2017-12-01,160.010437668335,62.7745918469032,91.3753060134117,247.747703392019,301.925536122809
