"","disease","Method","split","date","mean","lower_95","lower_80","upper_80","upper_95"
"203","Syphilis","ARIMA + Fourier","2017-2019",2018-11-01,264.046955264751,115.384920053972,159.976332028822,394.056973830684,473.380368496739
"204","Syphilis","ARIMA + Fourier","2017-2019",2018-12-01,217.015491456943,84.0941527100081,123.103442495624,337.372118994368,411.789814939673
"205","Syphilis","ARIMA + Fourier","2017-2019",2019-01-01,343.327947172978,166.41288894224,220.478139430696,493.271453895058,583.614261051096
"206","Syphilis","ARIMA + Fourier","2017-2019",2019-02-01,348.131822225297,168.399196957124,223.305518391691,500.558799485549,592.421499414068
"207","Syphilis","ARIMA + Fourier","2017-2019",2019-03-01,353.850370282045,170.649434154801,226.585006185096,509.36341964103,603.121697370743
"208","Syphilis","ARIMA + Fourier","2017-2019",2019-04-01,287.907622097404,124.73959121334,173.606411876332,430.965270621555,518.33600028847
"209","Syphilis","ARIMA + Fourier","2017-2019",2019-05-01,287.624656089401,123.113952283124,172.274801233312,432.375937206308,520.904312461407
"210","Syphilis","ARIMA + Fourier","2017-2019",2019-06-01,346.92868874635,161.582384457332,217.8200458213,505.949257944639,602.237988054261
"211","Syphilis","ARIMA + Fourier","2017-2019",2019-07-01,336.436773831023,152.879905803544,208.32798005321,495.100526048864,591.460667606513
"212","Syphilis","ARIMA + Fourier","2017-2019",2019-08-01,354.865937430028,164.102208429827,221.909257265867,518.889784098061,618.294729706548
"213","Syphilis","ARIMA + Fourier","2017-2019",2019-09-01,329.83741306419,145.730775612973,201.063872493947,490.31925672222,588.108710815908
"214","Syphilis","ARIMA + Fourier","2017-2019",2019-10-01,301.68669540431,126.123191181268,178.363194963945,457.232373700914,552.616795822493
"215","Syphilis","ARIMA + Fourier","2017-2019",2019-11-01,263.218951652524,100.49569618879,148.122026908342,411.177351236943,502.804097572906
"216","Syphilis","ARIMA + Fourier","2017-2019",2019-12-01,217.757556359619,72.401480263547,113.879975292518,355.012111983393,441.181259505958
"217","Syphilis","SARIMA","2019",2019-01-01,817.752468769646,656.474495397321,710.295867737979,932.775081925359,996.727091421997
"218","Syphilis","SARIMA","2019",2019-02-01,733.379602817923,553.468312317929,612.881503590191,864.684661737715,938.568010551972
"219","Syphilis","SARIMA","2019",2019-03-01,818.318447483071,614.535821667444,681.775681908356,967.315567890134,1051.2313926616
"220","Syphilis","SARIMA","2019",2019-04-01,682.527757692445,490.967816999016,553.71095109401,824.803986451978,905.568836611884
"221","Syphilis","SARIMA","2019",2019-05-01,783.944226211204,572.478936172445,641.920888607651,940.149064543423,1028.57957209246
"222","Syphilis","SARIMA","2019",2019-06-01,748.625810484894,538.472654423045,607.304850063776,904.716071058122,993.323865579177
"223","Syphilis","SARIMA","2019",2019-07-01,711.984380980254,504.200607367738,572.074887439044,867.183754022833,955.530671310087
"224","Syphilis","SARIMA","2019",2019-08-01,770.155558574459,550.203118370821,622.160833522387,933.925904976071,1027.00664943054
"225","Syphilis","SARIMA","2019",2019-09-01,699.643503177757,488.07211995066,557.005168373062,858.524765053407,949.206549508619
"226","Syphilis","SARIMA","2019",2019-10-01,710.200518113064,494.182783514234,564.533795741555,872.567598563171,965.279831641767
"227","Syphilis","SARIMA","2019",2019-11-01,712.019209661264,493.057697021256,564.307989055199,876.882894362022,971.099762080143
"228","Syphilis","SARIMA","2019",2019-12-01,597.321030568446,396.133220705205,461.112507209729,751.131241727063,839.6785994308
"229","Syphilis","SARIMA","2018-2019",2018-01-01,495.608059494766,372.821257411378,413.347574063704,585.328424886154,635.843271277293
"230","Syphilis","SARIMA","2018-2019",2018-02-01,457.745320896941,322.880121240726,366.905032044188,558.622765708296,616.087092604077
"231","Syphilis","SARIMA","2018-2019",2018-03-01,503.933259612101,352.468901729595,401.840530373997,617.569976312102,682.398618029216
"232","Syphilis","SARIMA","2018-2019",2018-04-01,454.684545170528,307.268580236861,355.03615893955,566.642960068538,630.89325539404
"233","Syphilis","SARIMA","2018-2019",2018-05-01,511.959747170806,354.166725238056,405.503881210986,630.80984357482,698.74245953369
"234","Syphilis","SARIMA","2018-2019",2018-06-01,533.333295405924,371.482828769088,424.202122090924,654.942900942281,724.370397613185
"235","Syphilis","SARIMA","2018-2019",2018-07-01,489.254932459908,334.382211221288,384.66397476017,606.408524158167,673.511234409245
"236","Syphilis","SARIMA","2018-2019",2018-08-01,500.596051701893,343.293929855261,394.394307462947,619.444631716523,687.478699399533
"237","Syphilis","SARIMA","2018-2019",2018-09-01,469.049558828366,316.802962143813,366.131157949695,584.698997259885,651.073626504218
"238","Syphilis","SARIMA","2018-2019",2018-10-01,480.213558509469,325.52978476167,375.679286340821,597.563070008129,664.871748388858
"239","Syphilis","SARIMA","2018-2019",2018-11-01,451.189976123632,301.272530899016,349.749951797049,565.529441557391,631.27878262013
"240","Syphilis","SARIMA","2018-2019",2018-12-01,371.639801761487,236.583671588902,279.89478217467,476.368464232643,537.064238346244
"241","Syphilis","SARIMA","2018-2019",2019-01-01,600.150467002085,419.198559938379,478.168254731503,735.976053744192,813.48156390294
"242","Syphilis","SARIMA","2018-2019",2019-02-01,545.881724949037,371.594763917365,428.140571910145,677.907966845455,753.581030991659
"243","Syphilis","SARIMA","2018-2019",2019-03-01,603.467988481315,417.425589589027,477.952404287248,743.600995505423,823.700050429912
"244","Syphilis","SARIMA","2018-2019",2019-04-01,529.835861822974,355.29083361679,411.773329337017,662.760164737088,739.142073944195
"245","Syphilis","SARIMA","2018-2019",2019-05-01,607.25811169769,418.434876619282,479.825666000337,749.680388269279,831.142059790975
"246","Syphilis","SARIMA","2018-2019",2019-06-01,585.32507661356,399.548880861285,459.851087289194,725.91695725824,806.461514480552
"247","Syphilis","SARIMA","2018-2019",2019-07-01,549.368846161462,369.257491161721,427.565001558824,686.418642530492,765.13997237576
"248","Syphilis","SARIMA","2018-2019",2019-08-01,584.638653185131,397.566129955707,458.249249778353,726.402068804379,807.670476728951
"249","Syphilis","SARIMA","2018-2019",2019-09-01,549.453331741886,367.9704490988,426.68490231111,687.723833831211,767.195043799207
"250","Syphilis","SARIMA","2018-2019",2019-10-01,567.353899169708,381.959185891619,441.993765617409,708.344165826634,789.306970961874
"251","Syphilis","SARIMA","2018-2019",2019-11-01,558.132405906231,373.72357467818,433.383010424518,698.639994938651,779.399124748199
"252","Syphilis","SARIMA","2018-2019",2019-12-01,473.693840676039,304.649312557585,358.956727458725,604.317207890137,679.895785508248
"253","Syphilis","SARIMA","2017-2019",2017-01-01,326.61906278451,231.401032773184,262.50713633789,397.728779152514,438.204689350496
"254","Syphilis","SARIMA","2017-2019",2017-02-01,327.712680896537,214.702901599954,251.125573106358,414.477905900683,464.52873590528
"255","Syphilis","SARIMA","2017-2019",2017-03-01,397.013369225383,263.130690003433,306.36727341614,499.39012161113,558.333661797046
"256","Syphilis","SARIMA","2017-2019",2017-04-01,360.959126528314,230.014765643256,272.014603985094,462.464313567257,521.282461522921
"257","Syphilis","SARIMA","2017-2019",2017-05-01,326.730581850732,200.746127573569,240.898640869969,425.616330260771,483.247455063719
"258","Syphilis","SARIMA","2017-2019",2017-06-01,335.904633142416,206.549385093481,247.782024982601,437.408320482601,496.55777780596
"259","Syphilis","SARIMA","2017-2019",2017-07-01,328.978023939307,200.120886325106,241.117319241649,430.460825188842,489.6967897382
"260","Syphilis","SARIMA","2017-2019",2017-08-01,311.468575625653,185.744784776034,225.6053310452,411.147828013696,469.507546600874
"261","Syphilis","SARIMA","2017-2019",2017-09-01,301.906966903365,177.731012460737,217.011560026362,400.785517197309,458.789026071292
"262","Syphilis","SARIMA","2017-2019",2017-10-01,299.268753869162,175.129614536791,214.357332575374,398.314769070789,456.468235559122
"263","Syphilis","SARIMA","2017-2019",2017-11-01,275.158696112629,156.294903028209,193.659036313094,370.93501360497,427.415113995736
