Areas,Cases,Incidence,Deaths,Mortality,Population,Year,Disease
North Region,35398,298.39,362,3.05,11862916,2005,Pneumonia
Zone:1,21371,373.01,106,1.85,5729312,2005,Pneumonia
Chiang Mai,5218,318.1,5,0.3,1640390,2005,Pneumonia
Chiang Rai,5697,467.07,39,3.2,1219732,2005,Pneumonia
Lampang,3450,443.54,8,1.03,777827,2005,Pneumonia
Lamphun,1303,321.92,1,0.25,404754,2005,Pneumonia
Mae Hong Son,1872,752.8,4,1.61,248672,2005,Pneumonia
Nan,1535,321.19,27,5.65,477917,2005,Pneumonia
Phayao,1420,291.21,16,3.28,487616,2005,Pneumonia
Phrae,876,185.43,6,1.27,472404,2005,Pneumonia
Zone:2,7849,227.99,56,1.63,3442642,2005,Pneumonia
Phetchabun,1096,109.4,2,0.2,1001820,2005,Pneumonia
Phitsanulok,1021,121.37,1,0.12,841248,2005,Pneumonia
Sukhothai,1592,260.61,3,0.49,610871,2005,Pneumonia
Tak,2131,410.57,18,3.47,519037,2005,Pneumonia
Uttaradit,2009,427.75,32,6.81,469666,2005,Pneumonia
Zone:3,6178,229.58,200,7.43,2690962,2005,Pneumonia
Kamphaeng Phet,1936,266.17,95,13.06,727351,2005,Pneumonia
Nakhon Sawan,2248,208.61,79,7.33,1077634,2005,Pneumonia
Phichit,967,172.8,0,0.0,559611,2005,Pneumonia
Uthai Thani,1027,314.68,26,7.97,326366,2005,Pneumonia
Central Region,39700,193.09,430,2.09,20560399,2005,Pneumonia
Bangkok,8582,151.99,7,0.12,5646543,2005,Pneumonia
Zone:4,6063,218.33,123,4.43,2777019,2005,Pneumonia
Ang Thong,750,264.67,7,2.47,283373,2005,Pneumonia
Nonthaburi,996,104.04,1,0.1,957287,2005,Pneumonia
P.Nakhon S.Ayutthaya,2300,309.28,53,7.13,743659,2005,Pneumonia
Pathum Thani,2017,254.45,62,7.82,792700,2005,Pneumonia
Zone:5,3089,161.78,46,2.41,1909368,2005,Pneumonia
Chai Nat,458,134.38,1,0.29,340812,2005,Pneumonia
Lop Buri,1681,223.92,44,5.86,750718,2005,Pneumonia
Saraburi,673,112.37,1,0.17,598905,2005,Pneumonia
Sing Buri,277,126.52,0,0.0,218933,2005,Pneumonia
Zone:6,7994,243.55,8,0.24,3282327,2005,Pneumonia
Kanchanaburi,2622,320.45,2,0.24,818218,2005,Pneumonia
Nakhon Pathom,1841,229.13,0,0.0,803489,2005,Pneumonia
Ratchaburi,1864,227.52,1,0.12,819286,2005,Pneumonia
Suphan Buri,1667,198.14,5,0.59,841334,2005,Pneumonia
Zone:7,2883,182.67,17,1.08,1578246,2005,Pneumonia
Phetchaburi,849,187.62,10,2.21,452506,2005,Pneumonia
Prachuap Khiri Khan,674,139.47,3,0.62,483243,2005,Pneumonia
Samut Sakhon,925,206.77,2,0.45,447353,2005,Pneumonia
Samut Songkhram,435,222.91,2,1.02,195144,2005,Pneumonia
Zone:8,6310,214.4,42,1.43,2943051,2005,Pneumonia
Chachoengsao,2673,414.08,4,0.62,645521,2005,Pneumonia
Nakhon Nayok,356,142.58,13,5.21,249686,2005,Pneumonia
Prachin Buri,1419,316.89,14,3.13,447783,2005,Pneumonia
Sa Kaeo,632,117.78,1,0.19,536591,2005,Pneumonia
Samut Prakan,1230,115.66,10,0.94,1063470,2005,Pneumonia
Zone:9,4779,197.17,187,7.72,2423845,2005,Pneumonia
Chanthaburi,1557,313.86,49,9.88,496081,2005,Pneumonia
Chon Buri,822,71.0,1,0.09,1157709,2005,Pneumonia
Rayong,1657,300.45,62,11.24,551512,2005,Pneumonia
Trat,743,339.98,75,34.32,218543,2005,Pneumonia
North-Eastern Region,47240,221.81,70,0.33,21297778,2005,Pneumonia
Zone:10,5696,161.63,5,0.14,3524138,2005,Pneumonia
Loei,674,110.23,5,0.82,611448,2005,Pneumonia
Nong Bua Lam Phu,957,193.09,0,0.0,495626,2005,Pneumonia
Nong Khai,1152,128.58,0,0.0,895911,2005,Pneumonia
Udon Thani,2913,191.5,0,0.0,1521153,2005,Pneumonia
Zone:11,6030,194.45,4,0.13,3101003,2005,Pneumonia
Kalasin,1511,155.38,1,0.1,972425,2005,Pneumonia
Mukdahan,686,205.8,2,0.6,333338,2005,Pneumonia
Nakhon Phanom,2586,373.5,0,0.0,692377,2005,Pneumonia
Sakon Nakhon,1247,113.07,1,0.09,1102863,2005,Pneumonia
Zone:12,7773,194.76,4,0.1,3991075,2005,Pneumonia
Khon Kaen,4016,230.19,4,0.23,1744646,2005,Pneumonia
Maha Sarakham,1955,208.87,0,0.0,935967,2005,Pneumonia
Roi Et,1802,137.51,0,0.0,1310462,2005,Pneumonia
Zone:13,15896,242.28,54,0.82,6560991,2005,Pneumonia
Buri Ram,2077,135.94,1,0.07,1527846,2005,Pneumonia
Chaiyaphum,1758,157.38,5,0.45,1117026,2005,Pneumonia
Nakhon Ratchasima,6528,256.7,47,1.85,2543054,2005,Pneumonia
Surin,5533,402.97,1,0.07,1373065,2005,Pneumonia
Zone:14,11845,287.46,3,0.07,4120571,2005,Pneumonia
Amnat Charoen,1165,316.44,2,0.54,368153,2005,Pneumonia
Si Sa Ket,3521,244.14,1,0.07,1442190,2005,Pneumonia
Ubon Ratchathani,6059,342.52,0,0.0,1768935,2005,Pneumonia
Yasothon,1100,203.22,0,0.0,541293,2005,Pneumonia
South Region,20431,241.08,58,0.68,8474785,2005,Pneumonia
Zone:15,4085,256.28,19,1.19,1593965,2005,Pneumonia
Chumphon,907,191.38,0,0.0,473916,2005,Pneumonia
Ranong,338,190.69,10,5.64,177247,2005,Pneumonia
Surat Thani,2840,301.23,9,0.95,942802,2005,Pneumonia
Zone:16,4582,176.17,11,0.42,2600847,2005,Pneumonia
