Areas,Age,Cases,Year,Disease
Nakhon Nayok,1-1,0,2019,Pediculosis Pubis
Nonthaburi,1-1,0,2019,Pediculosis Pubis
P.Nakhon S.Ayutthaya,1-1,0,2019,Pediculosis Pubis
Pathum Thani,1-1,0,2019,Pediculosis Pubis
Saraburi,1-1,0,2019,Pediculosis Pubis
Sing Buri,1-1,0,2019,Pediculosis Pubis
ZONE:05,1-1,0,2019,Pediculosis Pubis
Kanchanaburi,1-1,0,2019,Pediculosis Pubis
Nakhon Pathom,1-1,0,2019,Pediculosis Pubis
Phetchaburi,1-1,0,2019,Pediculosis Pubis
Prachuap Khiri Khan,1-1,0,2019,Pediculosis Pubis
Ratchaburi,1-1,0,2019,Pediculosis Pubis
Samut Sakhon,1-1,0,2019,Pediculosis Pubis
Samut Songkhram,1-1,0,2019,Pediculosis Pubis
Suphan Buri,1-1,0,2019,Pediculosis Pubis
ZONE:06,1-1,0,2019,Pediculosis Pubis
Chachoengsao,1-1,0,2019,Pediculosis Pubis
Chanthaburi,1-1,0,2019,Pediculosis Pubis
Chon Buri,1-1,0,2019,Pediculosis Pubis
Prachin Buri,1-1,0,2019,Pediculosis Pubis
Rayong,1-1,0,2019,Pediculosis Pubis
Sa Kaeo,1-1,0,2019,Pediculosis Pubis
Samut Prakan,1-1,0,2019,Pediculosis Pubis
Trat,1-1,0,2019,Pediculosis Pubis
ZONE:07,1-1,0,2019,Pediculosis Pubis
Kalasin,1-1,0,2019,Pediculosis Pubis
Khon Kaen,1-1,0,2019,Pediculosis Pubis
Maha Sarakham,1-1,0,2019,Pediculosis Pubis
Roi Et,1-1,0,2019,Pediculosis Pubis
ZONE:08,1-1,0,2019,Pediculosis Pubis
Bungkan,1-1,0,2019,Pediculosis Pubis
Loei,1-1,0,2019,Pediculosis Pubis
Nakhon Phanom,1-1,0,2019,Pediculosis Pubis
Nong Bua Lam Phu,1-1,0,2019,Pediculosis Pubis
Nong Khai,1-1,0,2019,Pediculosis Pubis
Sakon Nakhon,1-1,0,2019,Pediculosis Pubis
Udon Thani,1-1,0,2019,Pediculosis Pubis
ZONE:09,1-1,0,2019,Pediculosis Pubis
Buri Ram,1-1,0,2019,Pediculosis Pubis
Chaiyaphum,1-1,0,2019,Pediculosis Pubis
Nakhon Ratchasima,1-1,0,2019,Pediculosis Pubis
Surin,1-1,0,2019,Pediculosis Pubis
ZONE:10,1-1,0,2019,Pediculosis Pubis
Amnat Charoen,1-1,0,2019,Pediculosis Pubis
Mukdahan,1-1,0,2019,Pediculosis Pubis
Si Sa Ket,1-1,0,2019,Pediculosis Pubis
Ubon Ratchathani,1-1,0,2019,Pediculosis Pubis
Yasothon,1-1,0,2019,Pediculosis Pubis
ZONE:11,1-1,0,2019,Pediculosis Pubis
Chumphon,1-1,0,2019,Pediculosis Pubis
Krabi,1-1,0,2019,Pediculosis Pubis
Nakhon Si Thammarat,1-1,0,2019,Pediculosis Pubis
Phangnga,1-1,0,2019,Pediculosis Pubis
Phuket,1-1,0,2019,Pediculosis Pubis
Ranong,1-1,0,2019,Pediculosis Pubis
Surat Thani,1-1,0,2019,Pediculosis Pubis
ZONE:12,1-1,0,2019,Pediculosis Pubis
Narathiwat,1-1,0,2019,Pediculosis Pubis
Pattani,1-1,0,2019,Pediculosis Pubis
Phatthalung,1-1,0,2019,Pediculosis Pubis
Satun,1-1,0,2019,Pediculosis Pubis
Songkhla,1-1,0,2019,Pediculosis Pubis
Trang,1-1,0,2019,Pediculosis Pubis
Yala,1-1,0,2019,Pediculosis Pubis
