Areas,Count,Month,Type,Year,Disease
Nonthaburi,0,Jan,Cases,2016,Botulism
P.Nakhon S.Ayutthaya,0,Jan,Cases,2016,Botulism
Pathum Thani,0,Jan,Cases,2016,Botulism
Saraburi,0,Jan,Cases,2016,Botulism
Sing Buri,0,Jan,Cases,2016,Botulism
Reported cases  and deaths by Province and by Month  Thailand  2559  (2016),85,Jan,Cases,2016,Botulism
ZONE:05,0,Jan,Cases,2016,Botulism
Kanchanaburi,0,Jan,Cases,2016,Botulism
Nakhon Pathom,0,Jan,Cases,2016,Botulism
Phetchaburi,0,Jan,Cases,2016,Botulism
Prachuap Khiri Khan,0,Jan,Cases,2016,Botulism
Ratchaburi,0,Jan,Cases,2016,Botulism
Samut Sakhon,0,Jan,Cases,2016,Botulism
Samut Songkhram,0,Jan,Cases,2016,Botulism
Suphan Buri,0,Jan,Cases,2016,Botulism
ZONE:06,0,Jan,Cases,2016,Botulism
Chachoengsao,0,Jan,Cases,2016,Botulism
Chanthaburi,0,Jan,Cases,2016,Botulism
Chon Buri,0,Jan,Cases,2016,Botulism
Prachin Buri,0,Jan,Cases,2016,Botulism
Rayong,0,Jan,Cases,2016,Botulism
Sa Kaeo,0,Jan,Cases,2016,Botulism
Samut Prakan,0,Jan,Cases,2016,Botulism
Trat,0,Jan,Cases,2016,Botulism
ZONE:07,0,Jan,Cases,2016,Botulism
Kalasin,0,Jan,Cases,2016,Botulism
Khon Kaen,0,Jan,Cases,2016,Botulism
Maha Sarakham,0,Jan,Cases,2016,Botulism
Roi Et,0,Jan,Cases,2016,Botulism
ZONE:08,0,Jan,Cases,2016,Botulism
Bungkan,0,Jan,Cases,2016,Botulism
Loei,0,Jan,Cases,2016,Botulism
Nakhon Phanom,0,Jan,Cases,2016,Botulism
Nong Bua Lam Phu,0,Jan,Cases,2016,Botulism
Nong Khai,0,Jan,Cases,2016,Botulism
Sakon Nakhon,0,Jan,Cases,2016,Botulism
Udon Thani,0,Jan,Cases,2016,Botulism
ZONE:09,0,Jan,Cases,2016,Botulism
Buri Ram,0,Jan,Cases,2016,Botulism
Chaiyaphum,0,Jan,Cases,2016,Botulism
Nakhon Ratchasima,0,Jan,Cases,2016,Botulism
Surin,0,Jan,Cases,2016,Botulism
