Areas,Age,Cases,Year,Disease
Prachin Buri,<1,0,2011,Mushroom poisoning
Sa Kaeo,<1,0,2011,Mushroom poisoning
Samut Prakan,<1,0,2011,Mushroom poisoning
Zone:4,<1,0,2011,Mushroom poisoning
Kanchanaburi,<1,0,2011,Mushroom poisoning
Nakhon Pathom,<1,0,2011,Mushroom poisoning
Ratchaburi,<1,0,2011,Mushroom poisoning
Suphan Buri,<1,0,2011,Mushroom poisoning
Zone:5,<1,0,2011,Mushroom poisoning
Phetchaburi,<1,0,2011,Mushroom poisoning
Prachuap Khiri Khan,<1,0,2011,Mushroom poisoning
Samut Sakhon,<1,0,2011,Mushroom poisoning
Samut Songkhram,<1,0,2011,Mushroom poisoning
Zone:9,<1,0,2011,Mushroom poisoning
Chanthaburi,<1,0,2011,Mushroom poisoning
Chon Buri,<1,0,2011,Mushroom poisoning
Rayong,<1,0,2011,Mushroom poisoning
Trat,<1,0,2011,Mushroom poisoning
South Region,<1,0,2011,Mushroom poisoning
Zone:6,<1,0,2011,Mushroom poisoning
Chumphon,<1,0,2011,Mushroom poisoning
Nakhon Si Thammarat,<1,0,2011,Mushroom poisoning
Phatthalung,<1,0,2011,Mushroom poisoning
Surat Thani,<1,0,2011,Mushroom poisoning
Zone:7,<1,0,2011,Mushroom poisoning
Krabi,<1,0,2011,Mushroom poisoning
Phangnga,<1,0,2011,Mushroom poisoning
Phuket,<1,0,2011,Mushroom poisoning
Ranong,<1,0,2011,Mushroom poisoning
Trang,<1,0,2011,Mushroom poisoning
Zone:8,<1,0,2011,Mushroom poisoning
Narathiwat,<1,0,2011,Mushroom poisoning
Pattani,<1,0,2011,Mushroom poisoning
Satun,<1,0,2011,Mushroom poisoning
Songkhla,<1,0,2011,Mushroom poisoning
Yala,<1,0,2011,Mushroom poisoning
North-Eastern Region,<1,1,2011,Mushroom poisoning
Zone:10,<1,1,2011,Mushroom poisoning
Bungkan,<1,1,2011,Mushroom poisoning
Loei,<1,0,2011,Mushroom poisoning
Nong Bua Lam Phu,<1,0,2011,Mushroom poisoning
Nong Khai,<1,0,2011,Mushroom poisoning
Udon Thani,<1,0,2011,Mushroom poisoning
Zone:11,<1,0,2011,Mushroom poisoning
Mukdahan,<1,0,2011,Mushroom poisoning
Nakhon Phanom,<1,0,2011,Mushroom poisoning
Sakon Nakhon,<1,0,2011,Mushroom poisoning
Zone:12,<1,0,2011,Mushroom poisoning
Kalasin,<1,0,2011,Mushroom poisoning
Khon Kaen,<1,0,2011,Mushroom poisoning
Maha Sarakham,<1,0,2011,Mushroom poisoning
Roi Et,<1,0,2011,Mushroom poisoning
Zone:13,<1,0,2011,Mushroom poisoning
Amnat Charoen,<1,0,2011,Mushroom poisoning
Si Sa Ket,<1,0,2011,Mushroom poisoning
Ubon Ratchathani,<1,0,2011,Mushroom poisoning
Yasothon,<1,0,2011,Mushroom poisoning
Zone:14,<1,0,2011,Mushroom poisoning
Buri Ram,<1,0,2011,Mushroom poisoning
Chaiyaphum,<1,0,2011,Mushroom poisoning
Nakhon Ratchasima,<1,0,2011,Mushroom poisoning
Surin,<1,0,2011,Mushroom poisoning
North Region,<1,1,2011,Mushroom poisoning
Zone:15,<1,0,2011,Mushroom poisoning
Chiang Mai,<1,0,2011,Mushroom poisoning
Lampang,<1,0,2011,Mushroom poisoning
Lamphun,<1,0,2011,Mushroom poisoning
Mae Hong Son,<1,0,2011,Mushroom poisoning
Zone:16,<1,0,2011,Mushroom poisoning
Chiang Rai,<1,0,2011,Mushroom poisoning
Nan,<1,0,2011,Mushroom poisoning
Phayao,<1,0,2011,Mushroom poisoning
Phrae,<1,0,2011,Mushroom poisoning
Zone:17,<1,1,2011,Mushroom poisoning
Phetchabun,<1,0,2011,Mushroom poisoning
Phitsanulok,<1,1,2011,Mushroom poisoning
Sukhothai,<1,0,2011,Mushroom poisoning
Tak,<1,0,2011,Mushroom poisoning
Uttaradit,<1,0,2011,Mushroom poisoning
Zone:18,<1,0,2011,Mushroom poisoning
Kamphaeng Phet,<1,0,2011,Mushroom poisoning
Nakhon Sawan,<1,0,2011,Mushroom poisoning
Phichit,<1,0,2011,Mushroom poisoning
Uthai Thani,<1,0,2011,Mushroom poisoning
Total,1-1,14,2011,Mushroom poisoning
Central Region,1-1,3,2011,Mushroom poisoning
Zone:0,1-1,0,2011,Mushroom poisoning
Bangkok,1-1,0,2011,Mushroom poisoning
Zone:1,1-1,0,2011,Mushroom poisoning
Nonthaburi,1-1,0,2011,Mushroom poisoning
P.Nakhon S.Ayutthaya,1-1,0,2011,Mushroom poisoning
Pathum Thani,1-1,0,2011,Mushroom poisoning
Saraburi,1-1,0,2011,Mushroom poisoning
Zone:2,1-1,1,2011,Mushroom poisoning
Ang Thong,1-1,0,2011,Mushroom poisoning
Chai Nat,1-1,0,2011,Mushroom poisoning
Lop Buri,1-1,0,2011,Mushroom poisoning
Sing Buri,1-1,1,2011,Mushroom poisoning
Zone:3,1-1,0,2011,Mushroom poisoning
Chachoengsao,1-1,0,2011,Mushroom poisoning
Nakhon Nayok,1-1,0,2011,Mushroom poisoning
Prachin Buri,1-1,0,2011,Mushroom poisoning
Sa Kaeo,1-1,0,2011,Mushroom poisoning
Samut Prakan,1-1,0,2011,Mushroom poisoning
Zone:4,1-1,0,2011,Mushroom poisoning
Kanchanaburi,1-1,0,2011,Mushroom poisoning
Nakhon Pathom,1-1,0,2011,Mushroom poisoning
Ratchaburi,1-1,0,2011,Mushroom poisoning
