Areas,Cases,Incidence,Deaths,CFR,Mortality,Population,Year,Disease
Trat,0,0.00,0,0.00,0.00,229782,2018,Meningo
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",12/9/2562,,,,,,2018,Meningo
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand 2561  (2018)",Meningococcal Meningitis,19,,,,,2018,Meningo
Reporting  areas,cases,Morbidity rate,deaths,CFR(%),Mortality rate,จำนวน,2018,Meningo
/100000  Pop.,/100000  pop.,ประชากร,,,,,2018,Meningo
ZONE:07,2,0.04,0,0.00,0.00,5062199,2018,Meningo
Kalasin,1,0.10,0,0.00,0.00,985676,2018,Meningo
Khon Kaen,0,0.00,0,0.00,0.00,1805903,2018,Meningo
Maha Sarakham,1,0.10,0,0.00,0.00,963060,2018,Meningo
Roi Et,0,0.00,0,0.00,0.00,1307560,2018,Meningo
ZONE:08,0,0.00,0,0.00,0.00,5553738,2018,Meningo
Bungkan,0,0.00,0,0.00,0.00,423485,2018,Meningo
Loei,0,0.00,0,0.00,0.00,642220,2018,Meningo
Nakhon Phanom,0,0.00,0,0.00,0.00,718406,2018,Meningo
Nong Bua Lam Phu,0,0.00,0,0.00,0.00,511878,2018,Meningo
Nong Khai,0,0.00,0,0.00,0.00,521995,2018,Meningo
Sakon Nakhon,0,0.00,0,0.00,0.00,1150876,2018,Meningo
Udon Thani,0,0.00,0,0.00,0.00,1584878,2018,Meningo
ZONE:09,0,0.00,0,0.00,0.00,6772779,2018,Meningo
Buri Ram,0,0.00,0,0.00,0.00,1593378,2018,Meningo
Chaiyaphum,0,0.00,0,0.00,0.00,1139067,2018,Meningo
Nakhon Ratchasima,0,0.00,0,0.00,0.00,2642815,2018,Meningo
Surin,0,0.00,0,0.00,0.00,1397519,2018,Meningo
ZONE:10,0,0.00,0,0.00,0.00,4613643,2018,Meningo
Amnat Charoen,0,0.00,0,0.00,0.00,378363,2018,Meningo
Mukdahan,0,0.00,0,0.00,0.00,351532,2018,Meningo
Si Sa Ket,0,0.00,0,0.00,0.00,1472521,2018,Meningo
Ubon Ratchathani,0,0.00,0,0.00,0.00,1872091,2018,Meningo
Yasothon,0,0.00,0,0.00,0.00,539136,2018,Meningo
ZONE:11,6,0.13,0,0.00,0.00,4466673,2018,Meningo
Chumphon,0,0.00,0,0.00,0.00,510307,2018,Meningo
Krabi,0,0.00,0,0.00,0.00,471754,2018,Meningo
Nakhon Si Thammarat,4,0.26,0,0.00,0.00,1558958,2018,Meningo
Phangnga,0,0.00,0,0.00,0.00,267866,2018,Meningo
Phuket,2,0.49,0,0.00,0.00,406113,2018,Meningo
Ranong,0,0.00,0,0.00,0.00,191134,2018,Meningo
Surat Thani,0,0.00,0,0.00,0.00,1060541,2018,Meningo
ZONE:12,7,0.14,1,14.29,0.02,4960215,2018,Meningo
Narathiwat,0,0.00,0,0.00,0.00,799357,2018,Meningo
Pattani,0,0.00,0,0.00,0.00,713937,2018,Meningo
Phatthalung,0,0.00,0,0.00,0.00,524951,2018,Meningo
Satun,0,0.00,0,0.00,0.00,320637,2018,Meningo
Songkhla,6,0.42,0,0.00,0.00,1428429,2018,Meningo
Trang,0,0.00,0,0.00,0.00,643093,2018,Meningo
Yala,1,0.19,1,100.00,0.19,529811,2018,Meningo
ZONE:13,4,0.07,0,0.00,0.00,5679532,2018,Meningo
Bangkok,4,0.07,0,0.00,0.00,5679532,2018,Meningo
Total,17,0.03,2,11.76,0.00,65426907,2016,Meningo
ZONE:01,3,0.05,0,0.00,0.00,5781324,2016,Meningo
Chiang Mai,0,0.00,0,0.00,0.00,1703263,2016,Meningo
Chiang Rai,0,0.00,0,0.00,0.00,1242825,2016,Meningo
Lampang,0,0.00,0,0.00,0.00,752685,2016,Meningo
Lamphun,0,0.00,0,0.00,0.00,405927,2016,Meningo
Mae Hong Son,0,0.00,0,0.00,0.00,260971,2016,Meningo
Nan,1,0.21,0,0.00,0.00,478890,2016,Meningo
Phayao,0,0.00,0,0.00,0.00,483550,2016,Meningo
Phrae,2,0.44,0,0.00,0.00,453213,2016,Meningo
ZONE:02,0,0.00,0,0.00,0.00,3498728,2016,Meningo
Phetchabun,0,0.00,0,0.00,0.00,996397,2016,Meningo
Phitsanulok,0,0.00,0,0.00,0.00,861194,2016,Meningo
Sukhothai,0,0.00,0,0.00,0.00,602085,2016,Meningo
Tak,0,0.00,0,0.00,0.00,578968,2016,Meningo
Uttaradit,0,0.00,0,0.00,0.00,460084,2016,Meningo
ZONE:03,0,0.00,0,0.00,0.00,3011449,2016,Meningo
Chai Nat,0,0.00,0,0.00,0.00,331968,2016,Meningo
Kamphaeng Phet,0,0.00,0,0.00,0.00,729839,2016,Meningo
Nakhon Sawan,0,0.00,0,0.00,0.00,1072349,2016,Meningo
Phichit,0,0.00,0,0.00,0.00,546750,2016,Meningo
Uthai Thani,0,0.00,0,0.00,0.00,330543,2016,Meningo
ZONE:04,0,0.00,0,0.00,0.00,5221125,2016,Meningo
Ang Thong,0,0.00,0,0.00,0.00,283371,2016,Meningo
Lop Buri,0,0.00,0,0.00,0.00,758531,2016,Meningo
Nakhon Nayok,0,0.00,0,0.00,0.00,257939,2016,Meningo
Nonthaburi,0,0.00,0,0.00,0.00,1183791,2016,Meningo
P.Nakhon S.Ayutthaya,0,0.00,0,0.00,0.00,805980,2016,Meningo
Pathum Thani,0,0.00,0,0.00,0.00,1084154,2016,Meningo
Saraburi,0,0.00,0,0.00,0.00,635567,2016,Meningo
Sing Buri,0,0.00,0,0.00,0.00,211792,2016,Meningo
ZONE:05,0,0.00,0,0.00,0.00,5209561,2016,Meningo
Kanchanaburi,0,0.00,0,0.00,0.00,865172,2016,Meningo
Nakhon Pathom,0,0.00,0,0.00,0.00,895207,2016,Meningo
Phetchaburi,0,0.00,0,0.00,0.00,476391,2016,Meningo
Prachuap Khiri Khan,0,0.00,0,0.00,0.00,529912,2016,Meningo
Ratchaburi,0,0.00,0,0.00,0.00,860549,2016,Meningo
Samut Sakhon,0,0.00,0,0.00,0.00,538671,2016,Meningo
Samut Songkhram,0,0.00,0,0.00,0.00,194283,2016,Meningo
Suphan Buri,0,0.00,0,0.00,0.00,849376,2016,Meningo
ZONE:06,0,0.00,0,0.00,0.00,5880124,2016,Meningo
Chachoengsao,0,0.00,0,0.00,0.00,698190,2016,Meningo
Chanthaburi,0,0.00,0,0.00,0.00,529194,2016,Meningo
Chon Buri,0,0.00,0,0.00,0.00,1438231,2016,Meningo
Prachin Buri,0,0.00,0,0.00,0.00,480755,2016,Meningo
Rayong,0,0.00,0,0.00,0.00,681696,2016,Meningo
Sa Kaeo,0,0.00,0,0.00,0.00,554555,2016,Meningo
Samut Prakan,0,0.00,0,0.00,0.00,1270420,2016,Meningo
Trat,0,0.00,0,0.00,0.00,227083,2016,Meningo
"Center of Epidemiological Information, Bureau of Epidemiology, Mininstry of Public Health",3/2/2560,,,,,,2016,Meningo
"Number of cases ,deaths, morbidity rate ,mortality rate,case fatality rate , Thailand 2559  (2016)",Meningococcal Meningitis,19,,,,,2016,Meningo
