Areas,Age,Cases,Year,Disease
Zone: 11,<1,0,2007,HepatitisB
Kalasin,<1,0,2007,HepatitisB
Mukdahan,<1,0,2007,HepatitisB
Nakhon Phanom,<1,0,2007,HepatitisB
Sakon Nakhon,<1,0,2007,HepatitisB
Zone: 12,<1,0,2007,HepatitisB
Khon Kaen,<1,0,2007,HepatitisB
Maha Sarakham,<1,0,2007,HepatitisB
Roi Et,<1,0,2007,HepatitisB
Zone: 13,<1,0,2007,HepatitisB
Buri Ram,<1,0,2007,HepatitisB
Chaiyaphum,<1,0,2007,HepatitisB
Nakhon Ratchasima,<1,0,2007,HepatitisB
Surin,<1,0,2007,HepatitisB
Zone: 14,<1,0,2007,HepatitisB
Amnat Charoen,<1,0,2007,HepatitisB
Si Sa Ket,<1,0,2007,HepatitisB
Ubon Ratchathani,<1,0,2007,HepatitisB
Yasothon,<1,0,2007,HepatitisB
South Region,<1,0,2007,HepatitisB
Zone: 15,<1,0,2007,HepatitisB
Chumphon,<1,0,2007,HepatitisB
Ranong,<1,0,2007,HepatitisB
Surat Thani,<1,0,2007,HepatitisB
Zone: 16,<1,0,2007,HepatitisB
Nakhon Si Thammarat,<1,0,2007,HepatitisB
Phatthalung,<1,0,2007,HepatitisB
Trang,<1,0,2007,HepatitisB
Zone: 17,<1,0,2007,HepatitisB
Krabi,<1,0,2007,HepatitisB
Phangnga,<1,0,2007,HepatitisB
Phuket,<1,0,2007,HepatitisB
Zone: 18,<1,0,2007,HepatitisB
Narathiwat,<1,0,2007,HepatitisB
Pattani,<1,0,2007,HepatitisB
Yala,<1,0,2007,HepatitisB
Zone: 19,<1,0,2007,HepatitisB
Satun,<1,0,2007,HepatitisB
Songkhla,<1,0,2007,HepatitisB
Total,1-1,0,2007,HepatitisB
North Region,1-1,0,2007,HepatitisB
Zone: 1,1-1,0,2007,HepatitisB
Chiang Mai,1-1,0,2007,HepatitisB
Chiang Rai,1-1,0,2007,HepatitisB
Lampang,1-1,0,2007,HepatitisB
Lamphun,1-1,0,2007,HepatitisB
Mae Hong Son,1-1,0,2007,HepatitisB
Nan,1-1,0,2007,HepatitisB
Phayao,1-1,0,2007,HepatitisB
Phrae,1-1,0,2007,HepatitisB
Zone: 2,1-1,0,2007,HepatitisB
Phetchabun,1-1,0,2007,HepatitisB
Phitsanulok,1-1,0,2007,HepatitisB
Sukhothai,1-1,0,2007,HepatitisB
Tak,1-1,0,2007,HepatitisB
Uttaradit,1-1,0,2007,HepatitisB
Zone: 3,1-1,0,2007,HepatitisB
Kamphaeng Phet,1-1,0,2007,HepatitisB
Nakhon Sawan,1-1,0,2007,HepatitisB
Phichit,1-1,0,2007,HepatitisB
Uthai Thani,1-1,0,2007,HepatitisB
Central Region,1-1,0,2007,HepatitisB
Bangkok,1-1,0,2007,HepatitisB
Zone: 4,1-1,0,2007,HepatitisB
Ang Thong,1-1,0,2007,HepatitisB
Nonthaburi,1-1,0,2007,HepatitisB
P.Nakhon S.Ayutthaya,1-1,0,2007,HepatitisB
Pathum Thani,1-1,0,2007,HepatitisB
Zone: 5,1-1,0,2007,HepatitisB
Chai Nat,1-1,0,2007,HepatitisB
Lop Buri,1-1,0,2007,HepatitisB
Saraburi,1-1,0,2007,HepatitisB
Sing Buri,1-1,0,2007,HepatitisB
Zone: 6,1-1,0,2007,HepatitisB
Kanchanaburi,1-1,0,2007,HepatitisB
Nakhon Pathom,1-1,0,2007,HepatitisB
Ratchaburi,1-1,0,2007,HepatitisB
Suphan Buri,1-1,0,2007,HepatitisB
Zone: 7,1-1,0,2007,HepatitisB
Phetchaburi,1-1,0,2007,HepatitisB
Prachuap Khiri Khan,1-1,0,2007,HepatitisB
Samut Sakhon,1-1,0,2007,HepatitisB
Samut Songkhram,1-1,0,2007,HepatitisB
Zone: 8,1-1,0,2007,HepatitisB
Chachoengsao,1-1,0,2007,HepatitisB
Nakhon Nayok,1-1,0,2007,HepatitisB
Prachin Buri,1-1,0,2007,HepatitisB
Sa Kaeo,1-1,0,2007,HepatitisB
Samut Prakan,1-1,0,2007,HepatitisB
Zone: 9,1-1,0,2007,HepatitisB
Chanthaburi,1-1,0,2007,HepatitisB
Chon Buri,1-1,0,2007,HepatitisB
Rayong,1-1,0,2007,HepatitisB
Trat,1-1,0,2007,HepatitisB
North-Eastern Region,1-1,0,2007,HepatitisB
