Areas,Age,Cases,Year,Disease
P.Nakhon S.Ayutthaya,4-4,0,2018,Cholera
Pathum Thani,4-4,0,2018,Cholera
Saraburi,4-4,0,2018,Cholera
Sing Buri,4-4,0,2018,Cholera
ZONE:05,4-4,0,2018,Cholera
Kanchanaburi,4-4,0,2018,Cholera
Nakhon Pathom,4-4,0,2018,Cholera
Phetchaburi,4-4,0,2018,Cholera
Prachuap Khiri Khan,4-4,0,2018,Cholera
Ratchaburi,4-4,0,2018,Cholera
Samut Sakhon,4-4,0,2018,Cholera
Samut Songkhram,4-4,0,2018,Cholera
Suphan Buri,4-4,0,2018,Cholera
ZONE:06,4-4,0,2018,Cholera
Chachoengsao,4-4,0,2018,Cholera
Chanthaburi,4-4,0,2018,Cholera
Chon Buri,4-4,0,2018,Cholera
Prachin Buri,4-4,0,2018,Cholera
Rayong,4-4,0,2018,Cholera
Sa Kaeo,4-4,0,2018,Cholera
Samut Prakan,4-4,0,2018,Cholera
Trat,4-4,0,2018,Cholera
ZONE:07,4-4,0,2018,Cholera
Kalasin,4-4,0,2018,Cholera
Khon Kaen,4-4,0,2018,Cholera
Maha Sarakham,4-4,0,2018,Cholera
Roi Et,4-4,0,2018,Cholera
ZONE:08,4-4,0,2018,Cholera
Bungkan,4-4,0,2018,Cholera
Loei,4-4,0,2018,Cholera
Nakhon Phanom,4-4,0,2018,Cholera
Nong Bua Lam Phu,4-4,0,2018,Cholera
Nong Khai,4-4,0,2018,Cholera
Sakon Nakhon,4-4,0,2018,Cholera
Udon Thani,4-4,0,2018,Cholera
ZONE:09,4-4,0,2018,Cholera
Buri Ram,4-4,0,2018,Cholera
Chaiyaphum,4-4,0,2018,Cholera
Nakhon Ratchasima,4-4,0,2018,Cholera
Surin,4-4,0,2018,Cholera
ZONE:10,4-4,0,2018,Cholera
Amnat Charoen,4-4,0,2018,Cholera
Mukdahan,4-4,0,2018,Cholera
Si Sa Ket,4-4,0,2018,Cholera
Ubon Ratchathani,4-4,0,2018,Cholera
Yasothon,4-4,0,2018,Cholera
ZONE:11,4-4,0,2018,Cholera
Chumphon,4-4,0,2018,Cholera
Krabi,4-4,0,2018,Cholera
Nakhon Si Thammarat,4-4,0,2018,Cholera
Phangnga,4-4,0,2018,Cholera
Phuket,4-4,0,2018,Cholera
Ranong,4-4,0,2018,Cholera
Surat Thani,4-4,0,2018,Cholera
ZONE:12,4-4,0,2018,Cholera
Narathiwat,4-4,0,2018,Cholera
Pattani,4-4,0,2018,Cholera
Phatthalung,4-4,0,2018,Cholera
Satun,4-4,0,2018,Cholera
Songkhla,4-4,0,2018,Cholera
Trang,4-4,0,2018,Cholera
Yala,4-4,0,2018,Cholera
ZONE:13,4-4,0,2018,Cholera
Bangkok,4-4,0,2018,Cholera
Total,5-5,0,2018,Cholera
ZONE:01,5-5,0,2018,Cholera
Chiang Mai,5-5,0,2018,Cholera
Chiang Rai,5-5,0,2018,Cholera
Lampang,5-5,0,2018,Cholera
Lamphun,5-5,0,2018,Cholera
Mae Hong Son,5-5,0,2018,Cholera
Nan,5-5,0,2018,Cholera
Phayao,5-5,0,2018,Cholera
Phrae,5-5,0,2018,Cholera
ZONE:02,5-5,0,2018,Cholera
Phetchabun,5-5,0,2018,Cholera
Phitsanulok,5-5,0,2018,Cholera
Sukhothai,5-5,0,2018,Cholera
Tak,5-5,0,2018,Cholera
Uttaradit,5-5,0,2018,Cholera
ZONE:03,5-5,0,2018,Cholera
Chai Nat,5-5,0,2018,Cholera
Kamphaeng Phet,5-5,0,2018,Cholera
Nakhon Sawan,5-5,0,2018,Cholera
Phichit,5-5,0,2018,Cholera
Uthai Thani,5-5,0,2018,Cholera
ZONE:04,5-5,0,2018,Cholera
Ang Thong,5-5,0,2018,Cholera
