disease,file_name,remote_url,remote_size,local_path,local_exists,local_size,tag,download_result
DHF Total,tad_DHF_Total_49.rtf,http://doe1.moph.go.th/surdata/y49/tad_DHF_Total_49.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_49.rtf,yes,80556,skip,
DHF Total,tad_DHF_Total_50.rtf,http://doe1.moph.go.th/surdata/y50/tad_DHF_Total_50.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_50.rtf,yes,80537,skip,
DHF Total,tad_DHF_Total_51.rtf,http://doe1.moph.go.th/surdata/y51/tad_DHF_Total_51.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_51.rtf,yes,80849,skip,
DHF Total,tad_DHF_Total_52.rtf,http://doe1.moph.go.th/surdata/y52/tad_DHF_Total_52.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_52.rtf,yes,80874,skip,
DHF Total,tad_DHF_Total_53.rtf,http://doe1.moph.go.th/surdata/y53/tad_DHF_Total_53.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_53.rtf,yes,81674,skip,
DHF Total,tad_DHF_Total_54.rtf,http://doe1.moph.go.th/surdata/y54/tad_DHF_Total_54.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_54.rtf,yes,82394,skip,
DHF Total,tad_DHF_Total_55.rtf,http://doe1.moph.go.th/surdata/y55/tad_DHF_Total_55.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_55.rtf,yes,82426,skip,
DHF Total,tad_DHF_Total_56.rtf,http://doe1.moph.go.th/surdata/y56/tad_DHF_Total_56.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_56.rtf,yes,82437,skip,
DHF Total,tad_DHF_Total_57.rtf,http://doe1.moph.go.th/surdata/y57/tad_DHF_Total_57.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_57.rtf,yes,73190,skip,
DHF Total,tad_DHF_Total_58.rtf,http://doe1.moph.go.th/surdata/y58/tad_DHF_Total_58.rtf,,Code/Data/GetData/DHF Total/tad_DHF_Total_58.rtf,yes,73202,skip,
