Shortname,Group,BestModel,split,split_label,start_date,end_date,PlaceboStatus,PlaceboStatusLabel,TemperedStatus,TemperedStatusLabel,FalseAlert,FalseAlertTempered,FalseSuppressed,Coverage80,Coverage95,MeanIntervalScore80,MeanIntervalScore95,MeanWIS,MeanPIT,PIT_KS_p,MeanWidth95,MonthsEvaluated
Scrub Typhus,Vector-borne and zoonotic IDs,ETS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0,0,786.6909689675037,3016.000109680388,312.64205859318673,0.33258333333333334,4.6618202285908517e-5,15.873273849055858,12
Scrub Typhus,Vector-borne and zoonotic IDs,ETS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.041666666666666664,0.08333333333333333,976.4429377034734,3757.213841882337,387.38579651775746,0.66025,1.4388266023068752e-8,15.578008355821531,24
Scrub Typhus,Vector-borne and zoonotic IDs,ETS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.08333333333333333,0.1388888888888889,796.329708669996,3053.588274085344,316.1470157492283,0.5533333333333333,3.241417815269543e-7,15.795906788165778,36
Malaria,Vector-borne and zoonotic IDs,Hybrid,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.9166666666666666,1,174.71236400653643,251.05242283198717,81.63014683134426,0.7371666666666666,5.726761061950469e-4,251.05242283198717,12
Malaria,Vector-borne and zoonotic IDs,Hybrid,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,1,1,196.3031072559202,309.38501277351867,67.1372836766196,0.54575,0.01159522706944427,309.38501277351867,24
Malaria,Vector-borne and zoonotic IDs,Hybrid,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.6111111111111112,0.8611111111111112,395.37753060545145,561.967752819369,180.1817304404552,0.14405555555555555,2.1316282072803006e-14,420.90569263734835,36
Dengue fever,Vector-borne and zoonotic IDs,TBATS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.9166666666666666,1,15521.360136847772,26463.341084805877,5197.66513173456,0.6480833333333333,0.012704231226340457,26463.341084805877,12
Dengue fever,Vector-borne and zoonotic IDs,TBATS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,1,1,9342.535075578116,15720.63783080321,4053.4752558093905,0.585875,0.1585925872968389,15720.63783080321,24
Dengue fever,Vector-borne and zoonotic IDs,TBATS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,1,1,22202.751612880744,52730.61121548386,7944.315007219946,0.4706111111111111,0.0043141246830388225,52730.61121548386,36
Rubella,Respiratory IDs,ETS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.08333333333333333,0.08333333333333333,81.740058766615,261.2725417459938,31.730514571765408,0.4439166666666667,0.005857520753278944,8.479475923794869,12
Rubella,Respiratory IDs,ETS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0,0.041666666666666664,92.07340895240092,318.23379341649377,36.18563090523394,0.7118333333333333,2.485159855680763e-10,6.315754784839576,24
Rubella,Respiratory IDs,ETS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0.1111111111111111,0.2222222222222222,73.56522958119179,250.52160715778706,29.04454854560202,0.5703055555555555,5.40113835867384e-6,6.492950901399449,36
Scarlet fever,Respiratory IDs,TBATS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,No Deficit,No deficit,TRUE,FALSE,TRUE,0.9166666666666666,1,311.7108121870449,518.2586322465199,109.73108839720854,0.34858333333333336,0.025191527370299727,518.2586322465199,12
Scarlet fever,Respiratory IDs,TBATS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.875,1,457.28333206136006,743.7577600375604,143.62214637820725,0.5458333333333333,0.07879257108399029,743.7577600375604,24
Scarlet fever,Respiratory IDs,TBATS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0.8611111111111112,0.9444444444444444,437.526135797219,783.4580410135073,170.3445841587108,0.7136666666666667,6.971431677493811e-7,632.7302249134513,36
Mumps,Respiratory IDs,ETS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0,0.16666666666666666,324.0074815436087,1236.7948377552602,128.62536075019503,0.8259166666666666,1.006749749454805e-6,6.223785316698404,12
Mumps,Respiratory IDs,ETS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0,0.125,314.7852837052704,1215.8666852789288,125.72262651762263,0.24845833333333334,6.946587749467881e-11,6.884237191178086,24
Mumps,Respiratory IDs,ETS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.05555555555555555,0.08333333333333333,361.90927710584987,1407.449876745263,144.5355112872842,0.19777777777777777,0,6.424982763072727,36
Chickenpox,Respiratory IDs,SARIMA,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.6666666666666666,0.75,8414.91895158804,12117.477731372954,2918.660815712971,0.28883333333333333,0.0031587507312366148,6042.728823953872,12
Chickenpox,Respiratory IDs,SARIMA,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.875,0.9583333333333334,4938.875652221766,6413.286137895896,1900.2266870590374,0.410375,0.11840529857798066,6336.951967105643,24
Chickenpox,Respiratory IDs,SARIMA,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.9166666666666666,1,4853.762702114598,6368.277536162362,1779.4421134160848,0.4688888888888889,0.029895809824991293,6368.277536162362,36
Influenza,Respiratory IDs,ETS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,No Deficit,No deficit,No Deficit,No deficit,FALSE,FALSE,FALSE,0,0,131466.02728728153,523311.85141993075,52531.73819788859,0.9166666666666666,3.4894577227717605e-9,220.15784164996035,12
Influenza,Respiratory IDs,ETS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0,0.041666666666666664,74226.23400817582,294899.14312870277,29647.440121216674,0.664875,1.4388266023068752e-8,196.5739691338138,24
Influenza,Respiratory IDs,ETS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Debt Repaid,Balanced,Debt Repaid,Balanced,TRUE,TRUE,FALSE,0,0,113352.42069257659,451312.7153435776,45287.73549514381,0.8888888888888888,0,162.97966963464262,36
Pneumonia,Respiratory IDs,TBATS,2019,Pseudo interruption 2019,2019-01-01,2019-12-01,Suppressed,Suppressed,Suppressed,Suppressed,TRUE,TRUE,TRUE,0.5833333333333334,0.6666666666666666,16853.405799624506,34676.811830701125,6478.9110098245055,0.20941666666666667,0.0016919484067843271,8405.618481527215,12
Pneumonia,Respiratory IDs,TBATS,2018-2019,Pseudo interruption 2018,2018-01-01,2019-12-01,Recovered,Recovered but not balanced,Recovered,Recovered but not balanced,TRUE,TRUE,FALSE,0.7916666666666666,0.9583333333333334,9850.888255242002,13967.034614222479,3802.9186797240895,0.44275,0.39984101477691614,11274.284512732569,24
Pneumonia,Respiratory IDs,TBATS,2017-2019,Pseudo interruption 2017,2017-01-01,2019-12-01,Debt Repaid,Balanced,No Deficit,No deficit,TRUE,FALSE,FALSE,0.6944444444444444,1,10069.666088753405,10955.677033298378,4162.990291813425,0.7001666666666667,1.0665611053817248e-4,10955.677033298378,36
